Student_ID,Participating_Course_Grade,FINAL_SAT_total,StudySemester_cumGPA,StudySemester_plusone_cumGPA,StudySemester_plustwo_cumGPA,StudySemester_plusthree_cumGPA,StudySemester_plusfour_cumGPA,StudySemester_plusfive_cumGPA,Q1.1_Writing_Attitudes_Survey,Q1.2_Writing_Attitudes_Survey,Q1.3_Writing_Attitudes_Survey,Q1.4_Writing_Attitudes_Survey,Q1.5_Writing_Attitudes_Survey,Q1.6_Writing_Attitudes_Survey,Q1.7_Writing_Attitudes_Survey,Q1.8_Writing_Attitudes_Survey,Q1.9_Writing_Attitudes_Survey,Q1.10_Writing_Attitudes_Survey,Q1.11_Writing_Attitudes_Survey,Q2.1_Writing_Attitudes_Survey,Q2.2_Writing_Attitudes_Survey,Q2.3_Writing_Attitudes_Survey,Q2.4_Writing_Attitudes_Survey,Q2.5_Writing_Attitudes_Survey,Q2.6_Writing_Attitudes_Survey,Q2.7_Writing_Attitudes_Survey,Q2.8_Writing_Attitudes_Survey,Q2.9_Writing_Attitudes_Survey,Q2.10_Writing_Attitudes_Survey,Q2.11_Writing_Attitudes_Survey,Q2.12_Writing_Attitudes_Survey,Q2.13_Writing_Attitudes_Survey,Q2.14_Writing_Attitudes_Survey,Q2.15_Writing_Attitudes_Survey,Q2.16_Writing_Attitudes_Survey,Q2.17_Writing_Attitudes_Survey,Q2.18_Writing_Attitudes_Survey,Q2.19_Writing_Attitudes_Survey,Q2.20_Writing_Attitudes_Survey,Q2.21_Writing_Attitudes_Survey,Q2.22_Writing_Attitudes_Survey,Q3.1_Writing_Attitudes_Survey,Q3.2_Writing_Attitudes_Survey,Q3.3_Writing_Attitudes_Survey,Q3.4_Writing_Attitudes_Survey,Q3.5_Writing_Attitudes_Survey,Q3.6_Writing_Attitudes_Survey,Q3.7_Writing_Attitudes_Survey,Q3.8_Writing_Attitudes_Survey,Q3.9_Writing_Attitudes_Survey,Q3.10_Writing_Attitudes_Survey,Q3.11_Writing_Attitudes_Survey,Q3.12_Writing_Attitudes_Survey,Q4.1_Writing_Attitudes_Survey,Q4.2_Writing_Attitudes_Survey,Q4.3_Writing_Attitudes_Survey,Q4.4_Writing_Attitudes_Survey,Q4.5_Writing_Attitudes_Survey,Q5.2_recoded_Writing_Attitudes_Survey,rQ4.2_Writing_Attitudes_Survey,rQ4.5_Writing_Attitudes_Survey,Survey_conf,Survey_Blf_Cont,Survey_Blf_Conv,Survey_G_Master,Survey_G_Perform,Survey_G_Avoid,Survey_Affection
WF0186,3.7,980,3.371,3.52,3.512999999, , , ,4,Describes me very well,Somewhat describes me,Describes me very well,Somewhat describes me,4,Somewhat describes me,2,Does not describe me at all,Somewhat describes me,4,80,50/50 Chance,40,90,90,60,70,70,40,60,50/50 Chance,20,70,30,50/50 Chance,80,80,Completely Sure,Completely Sure,50/50 Chance,60,No Chance,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Agree,Neither agree nor disagree,Agree,Strongly Agree,1,2,1,1340,22,16,16,17,8,11
WF0187,3,1036.86,3.33,3.5,3.5,3,3.04,3.143,Somewhat describes me,Describes me very well,Does not describe me at all,Describes me very well,Describes me very well,Describes me very well,Describes me very well,Describes me very well,4,Describes me very well,Describes me very well,70,70,60,40,70,80,60,80,30,80,60,70,70,80,70,80,80,80,70,80,80,90,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,1,3,3,1550,20,22,18,25,10,17
WF0188,3.3,1280,3.8,3.903,3.798,3.847999999,3.839,3.822,Somewhat describes me,2,2,4,2,Does not describe me at all,4,2,2,Somewhat describes me,4,80,60,40,70,40,50/50 Chance,80,60,50/50 Chance,40,70,40,70,80,60,50/50 Chance,70,70,50/50 Chance,70,40,40,Neither agree nor disagree,Disagree,Agree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,1,4,4,1280,22,12,15,10,5,20
WF0189, ,1036.86,3.4,3.4,3.4, , , ,Somewhat describes me,Describes me very well,2,Describes me very well,Does not describe me at all,Does not describe me at all,Describes me very well,Somewhat describes me,Does not describe me at all,Describes me very well,Describes me very well,50/50 Chance,60,Completely Sure,Completely Sure,70,30,40,80,60,40,50/50 Chance,30,Completely Sure,Completely Sure,30,Completely Sure,Completely Sure,50/50 Chance,80,70,70,70,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,1,3,3,1480,22,17,18,15,4,17
WF0190,4,1400,4,4,4,4,4,4,Describes me very well,4,Does not describe me at all,Describes me very well,Somewhat describes me,Somewhat describes me,4,Somewhat describes me,Does not describe me at all,4,Describes me very well,Completely Sure,90,90,80,Completely Sure,90,90,Completely Sure,70,70,90,90,90,80,90,Completely Sure,80,Completely Sure,90,Completely Sure,70,90,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,1,4,4,1950,25,13,19,17,5,21
WF0191,3.7,1110,2.625,2.459,2.591,2.54,2.432999999,2.544, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0192,1,1180,0.26,0.85,0.85, , , ,4,Describes me very well,Describes me very well,Describes me very well,Describes me very well,Describes me very well,Describes me very well,2,Describes me very well,Describes me very well,Describes me very well,50/50 Chance,60,40,50/50 Chance,50/50 Chance,40,70,60,60,30,50/50 Chance,20,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,2,4,2,1080,26,9,19,22,15,17
WF0193,4,1140,3.8125,3.78125,3.787234043,3.707692307,3.6875,3.705263158,4,4,Somewhat describes me,4,4,4,4,Somewhat describes me,Somewhat describes me,4,4,70,70,60,70,70,70,80,70,80,60,90,50/50 Chance,70,80,80,80,70,70,70,80,70,60,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,1,4,3,1570,23,21,16,19,10,15
WF0194,2,1036.86,3,1.857, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0195,2,1100,3.588235294,3.369230769,3.4125,3.505263158,3.451327434,3.488372093, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0196,2,1050,2.813,2.679,2.674999999,2.736,2.73,2.843999999,Describes me very well,Describes me very well,Somewhat describes me,Describes me very well,Does not describe me at all,Does not describe me at all,Describes me very well,Does not describe me at all,Somewhat describes me,4,Describes me very well,70,70,70,70,70,70,70,70,Completely Sure,Completely Sure,70,70,70,90,70,70,80,Completely Sure,Completely Sure,70,70,60,Agree,Strongly Agree,Agree,Strongly Disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,4,3,1680,22,14,20,12,7,18
WF0197,3,1240,3.8125,3.90625,3.854166666,3.822580644,3.723684211,3.617977528,4,Somewhat describes me,2,4,2,2,4,Somewhat describes me,2,Somewhat describes me,4,90,80,70,80,90,70,90,80,80,Completely Sure,90,80,80,Completely Sure,90,90,80,90,90,Completely Sure,80,80,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,3,3,1880,24,13,16,13,6,17
WF0198,4,1210,3.25,3.6,3.6,3.15,3.17,3.25,Describes me very well,Describes me very well,2,Describes me very well,4,Somewhat describes me,Describes me very well,Does not describe me at all,Does not describe me at all,Somewhat describes me,Describes me very well,80,90,80,90,90,70,90,90,90,70,90,50/50 Chance,90,90,90,Completely Sure,90,90,90,90,70,60,Strongly Agree,Agree,Agree,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Strongly Agree,Strongly Disagree,1,4,5,1840,29,15,20,16,6,22
WF0199,2.7,1140,2.4,2.07,1.98, , ,1.98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0200,3,1036.86,3.35,3.48,3.48,3.47,3.51,3.533,Somewhat describes me,2,Somewhat describes me,Somewhat describes me,2,Somewhat describes me,2,2,Somewhat describes me,Somewhat describes me,Somewhat describes me,50/50 Chance,40,40,60,50/50 Chance,60,60,70,70,70,70,30,50/50 Chance,70,60,50/50 Chance,30,70,60,30,30,60,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,1,2,2,1180,21,15,11,12,9,14
WF0201,3,1036.86,3.25,2.95,2.95,2.4,1.93,1.968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0202,4,1210,3.575342466,3.579545455,3.582524272,3.610169491,3.59055118, ,Describes me very well,Does not describe me at all,Does not describe me at all,4,2,Does not describe me at all,Somewhat describes me,Does not describe me at all,Does not describe me at all,Somewhat describes me,Describes me very well,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,90,90,Completely Sure,80,Completely Sure,Completely Sure,90,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,90,90,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,1,5,5,2130,30,16,17,8,3,25
WF0203,4,1036.86,3.35,2.86,2.86,2.27,1.96,1.879,Describes me very well,Somewhat describes me,Does not describe me at all,Describes me very well,Does not describe me at all,Does not describe me at all,Describes me very well,Does not describe me at all,Does not describe me at all,Does not describe me at all,Describes me very well,80,90,90,90,Completely Sure,70,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,50/50 Chance,30,Completely Sure,Completely Sure,60,60,Completely Sure,Completely Sure,Completely Sure,70,80,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,1,5,3,1870,21,8,20,7,3,21
WF0204,4,1036.86,4,4,4, , , ,Describes me very well,Describes me very well,Does not describe me at all,Describes me very well,4,4,Describes me very well,Describes me very well,Does not describe me at all,Describes me very well,Describes me very well,90,90,Completely Sure,80,90,80,90,90,Completely Sure,Completely Sure,80,40,80,90,70,Completely Sure,80,80,90,90,90,90,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,1,4,4,1890,30,18,20,23,6,21
WF0205,3.7,1120,3.369,3.366, ,3.384999999,3.460999999,3.520999999,4,Describes me very well,4,Somewhat describes me,4,Somewhat describes me,4,4,4,Describes me very well,4,90,90,50/50 Chance,80,80,70,90,80,90,Completely Sure,90,60,80,80,90,70,70,80,Completely Sure,90,70,50/50 Chance,Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,1,1,2,1750,19,18,15,21,11,9
WF0206,4,970,4,3.9,3.9, ,3.67, ,Describes me very well,Describes me very well,Somewhat describes me,Describes me very well,Somewhat describes me,Describes me very well,Describes me very well,Somewhat describes me,Does not describe me at all,Describes me very well,Describes me very well,90,80,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,70,80,80,90,Completely Sure,Completely Sure,Completely Sure,80,Completely Sure,90,90,90,70,50/50 Chance,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,2,5,5,1960,27,15,20,21,9,25
WF0207,4,940,4,3,3,2.32,2.56,2.421,4,4,Does not describe me at all,4,4,4,Somewhat describes me,Does not describe me at all,Does not describe me at all,Does not describe me at all,4,70,70,50/50 Chance,60,70,80,70,70,60,70,70,70,40,60,60,60,80,80,90,70,70,60,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,1,4,3,1480,24,17,15,14,6,16
WF0208,4,1130,3.833333333,3.911764706,3.934782609,3.955223881,3.863636364,3.868131867,Somewhat describes me,Somewhat describes me,2,Somewhat describes me,Somewhat describes me,4,4,Somewhat describes me,4,Somewhat describes me,Somewhat describes me,70,80,80,70,70,70,80,80,70,80,70,70,80,70,60,70,60,50/50 Chance,60,60,70,70,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,3,3,1540,21,20,13,16,10,16
WF0209,3,1180,3.33,3.17,3.17,2.81,3,3.067, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0210,4,1370,4,4,4,4,4,4,Describes me very well,4,2,4,4,Describes me very well,4,2,4,Describes me very well,Describes me very well,90,Completely Sure,70,40,Completely Sure,70,Completely Sure,90,80,80,Completely Sure,80,70,40,Completely Sure,80,60,70,90,Completely Sure,70,70,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,1,2,4,1750,27,18,18,20,11,13
WF0211,2,950,2.368,2.667,2.672,2.690999999,2.553999999,2.468999999,Somewhat describes me,Somewhat describes me,Somewhat describes me,4,2,4,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,70,50/50 Chance,80,80,70,60,50/50 Chance,80,70,80,70,60,50/50 Chance,80,90,70,90,90,60,70,60,70,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,3,3,1550,26,19,13,15,10,16
WF0212,3.3,1190,2.962,2.876, ,2.952, , ,4,Does not describe me at all,Does not describe me at all,Somewhat describes me,Does not describe me at all,Does not describe me at all,Somewhat describes me,Does not describe me at all,Does not describe me at all,Does not describe me at all,4,80,80,70,90,80,80,80,80,80,90,70,Completely Sure,60,70,60,80,70,80,70,80,70,80,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Strongly Disagree,1,5,5,1700,24,18,14,5,3,21
WF0213,2,1000,3.25,3.222, , , , ,Describes me very well,Describes me very well,Somewhat describes me,Describes me very well,Describes me very well,4,Somewhat describes me,Does not describe me at all,2,Describes me very well,Describes me very well,80,50/50 Chance,Completely Sure,70,70,10,70,80,60,80,80,70,60,70,30,80,80,50/50 Chance,80,Completely Sure,70,80,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,1,3,4,1520,24,12,18,20,9,16
WF0214,3,1010,2.538461538,2.103448276,2.103448276,2.103448276, , ,Describes me very well,Describes me very well,2,Describes me very well,Describes me very well,4,Describes me very well,Somewhat describes me,Somewhat describes me,Describes me very well,Describes me very well,Completely Sure,80,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,1,5,4,2180,30,25,20,22,9,24
WF0215,0,1160,1.242,1.242, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0216,3,1180,3.25,2.935483871,2.53488372,2.53488372,2.53488372,2.53488372,Somewhat describes me,Describes me very well,Does not describe me at all,Does not describe me at all,Describes me very well,2,Describes me very well,Describes me very well,Does not describe me at all,Describes me very well,4,Completely Sure,80,70,80,80,50/50 Chance,90,90,90,90,Completely Sure,60,70,90,70,80,70,80,80,80,90,50/50 Chance,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Disagree,Neither agree nor disagree,Strongly Agree,1,1,1,1740,22,23,13,22,4,8
WF0217,4,1036.86,3.083,3.005, , , , ,4,Somewhat describes me,Somewhat describes me,Somewhat describes me,2,2,Somewhat describes me,Somewhat describes me,2,Somewhat describes me,4,50/50 Chance,70,40,60,30,60,30,50/50 Chance,50/50 Chance,40,70,40,60,50/50 Chance,30,70,40,50/50 Chance,40,50/50 Chance,50/50 Chance,50/50 Chance,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,1,2,3,1080,18,18,14,13,7,15
WF0218,4,1036.86,3.83,3.9,3.9,3.95,3.96,3.879,Describes me very well,2,Somewhat describes me,Describes me very well,2,Somewhat describes me,Describes me very well,Does not describe me at all,Describes me very well,Somewhat describes me,Describes me very well,70,90,Completely Sure,Completely Sure,80,Completely Sure,90,80,80,90,Completely Sure,70,80,80,90,Completely Sure,80,Completely Sure,90,90,80,90,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Neither agree nor disagree,2,4,3,1930,28,7,20,11,11,20
WF0219,4,1036.86,4,3.911764706,3.367346938,3.046153846,3.128205127,3.117021277, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0220,0,1130,0.938,0.84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0221,3,1010,3.3,2.44,2.44,2.1,1.67, ,4,Somewhat describes me,2,Somewhat describes me,2,2,4,2,4,Somewhat describes me,4,70,80,70,50/50 Chance,60,80,80,70,80,50/50 Chance,70,50/50 Chance,60,60,80,80,50/50 Chance,70,60,90,70,60,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,1,4,4,1490,19,15,15,12,8,18
WF0222,0,1140,1.28,2.4,2.4,2.2,2.15,2.253, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0223,3,1180,3.62,3.51,3.51,3.55,3.59,3.434, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0224,4,1036.86,3.625,3.59375,3.5,3.515151514,3.604938272,3.666666666,4,Describes me very well,4,Describes me very well,4,Describes me very well,Somewhat describes me,4,4,Describes me very well,Describes me very well,70,70,70,70,70,60,70,70,60,50/50 Chance,50/50 Chance,50/50 Chance,60,70,50/50 Chance,80,80,80,70,70,70,70,Agree,Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,2,2,1460,23,25,17,23,13,12
WF0225,0,1220,1.813,2.444,2.633999999,2.25,2.069999999,2.185999999,Describes me very well,Describes me very well,2,Describes me very well,Somewhat describes me,2,4,4,Does not describe me at all,2,Describes me very well,80,70,50/50 Chance,80,80,30,Completely Sure,70,70,50/50 Chance,80,50/50 Chance,60,80,70,70,60,80,80,80,70,60,Strongly Agree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,4,3,1520,23,12,19,16,5,18
WF0226,0,1050,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0227,3.7,1036.86,3.543,3.579,3.524,3.464, , ,4,4,Does not describe me at all,Somewhat describes me,2,2,Describes me very well,Somewhat describes me,Does not describe me at all,Somewhat describes me,4,80,Completely Sure,60,80,80,80,90,70,80,20,Completely Sure,50/50 Chance,80,80,Completely Sure,70,70,80,80,Completely Sure,80,90,Agree,Agree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Neither agree nor disagree,2,4,3,1720,23,16,16,14,4,20
WF0228,3,1036.86,2.46,2.85,2.85,3.12,3.18,3.265,4,Describes me very well,Somewhat describes me,4,Somewhat describes me,Describes me very well,Describes me very well,Describes me very well,2,4,Describes me very well,80,90,Completely Sure,Completely Sure,90,80,Completely Sure,70,70,70,Completely Sure,50/50 Chance,60,80,90,80,90,80,80,Completely Sure,70,50/50 Chance,Neither agree nor disagree,Disagree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,1,3,2,1780,19,18,18,22,10,13
WF0229,4,1370,4,3.976190476,3.976190476,3.976190476, , ,Somewhat describes me,4,Somewhat describes me,4,4,4,4,Somewhat describes me,4,4,4,90,80,Completely Sure,70,80,80,80,90,70,70,90,80,70,90,80,70,80,Completely Sure,70,90,50/50 Chance,70,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Strongly Agree,1,2,1,1750,20,17,15,19,11,10
WF0230,4,1090,4,4,4,3.9,3.86,3.89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0231,2,860,3,2.563,2.509999999,2.384999999,2.755999999,2.938,Describes me very well,Somewhat describes me,Somewhat describes me,4,Somewhat describes me,4,Describes me very well,Somewhat describes me,Somewhat describes me,4,Describes me very well,60,50/50 Chance,40,50/50 Chance,70,60,70,60,90,30,70,50/50 Chance,70,50/50 Chance,60,90,50/50 Chance,40,60,50/50 Chance,30,40,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,1,4,3,1240,21,13,19,17,10,16
WF0232,3,840,3.076923077,3.192307692,3.125,3.040816326,2.90625,3.027027027,4,4,4,Describes me very well,Somewhat describes me,4,Somewhat describes me,2,Describes me very well,Describes me very well,Describes me very well,50/50 Chance,50/50 Chance,70,60,60,50/50 Chance,70,80,50/50 Chance,80,60,70,50/50 Chance,60,50/50 Chance,80,80,90,70,50/50 Chance,50/50 Chance,60,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,4,3,1390,24,16,17,18,13,18
WF0233,4,1036.86,3.23, , , , , ,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,Somewhat describes me,30,10,80,50/50 Chance,50/50 Chance,30,50/50 Chance,70,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,50/50 Chance,80,80,30,30,30,20,20,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,2,2,2,1010,21,15,12,15,9,16
WF0234,3.3,1190,3.734,3.758,3.696,3.713,3.753,3.761,Somewhat describes me,2,2,4,4,Describes me very well,4,2,Does not describe me at all,Somewhat describes me,4,80,80,40,40,40,40,80,80,80,80,90,No Chance,60,80,90,90,90,80,60,90,50/50 Chance,20,Disagree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,1,2,1440,22,14,15,16,8,10
WF0235,3,1036.86,3.87,3.92,3.92,3.87,3.83,3.804, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
